Date,Open,High,Low,Close,Adj Close,Volume
18-03-2015,1295.469971,1299.719971,1275.849976,1279.680054,1111.068359,1255170
19-03-2015,1288,1302.930054,1284.050049,1298.119995,1127.079102,2448964
20-03-2015,1298,1309,1289.430054,1305.469971,1133.460815,1963908
23-03-2015,1308,1315.5,1303,1308.569946,1136.151978,1566608
24-03-2015,1315,1318.5,1291.050049,1295.650024,1124.934692,2394878
25-03-2015,1295.699951,1307,1272.599976,1286.880005,1117.320068,2224858
26-03-2015,1276.650024,1293.349976,1250.5,1256.550049,1090.986328,3091642
27-03-2015,1265.5,1285.949951,1252.050049,1257.400024,1091.724365,2751776
30-03-2015,1262.5,1284.949951,1260,1282.069946,1113.143799,1339006
31-03-2015,1284.719971,1284.719971,1260.5,1276.969971,1108.715698,2427028
01-04-2015,1279,1281.800049,1261.119995,1271.319946,1103.810181,2075758
06-04-2015,1279,1281.449951,1250.050049,1273.650024,1105.833252,1568542
07-04-2015,1281.219971,1299.5,1272,1292.5,1122.199463,1886922
08-04-2015,1297,1328.25,1295.430054,1320.699951,1146.683838,1652134
09-04-2015,1329.5,1343.719971,1317.569946,1332.280029,1156.737915,2544450
10-04-2015,1324.25,1335.400024,1314,1326.880005,1152.049683,1815544
13-04-2015,1332,1332.5,1314,1327.75,1152.80481,1308642
15-04-2015,1327.349976,1356.949951,1304.699951,1313.880005,1140.762207,2913934
16-04-2015,1313.469971,1313.5,1285.680054,1291.400024,1121.244507,3217570
17-04-2015,1278.550049,1280,1235,1237.430054,1074.385742,9668742
20-04-2015,1240.030029,1241.949951,1212.430054,1214.400024,1054.389893,2890722
21-04-2015,1214.400024,1226,1200.5,1213.530029,1053.634644,2546032
22-04-2015,1215.75,1236.5,1203.780029,1222.550049,1061.466309,4186812
23-04-2015,1236,1239.900024,1215.849976,1228.619995,1066.73645,4342990
24-04-2015,1227.650024,1257,1223.780029,1246.530029,1082.286987,3625158
27-04-2015,1249.75,1260,1243,1250.099976,1085.38623,2733052
28-04-2015,1255,1255,1227.550049,1247.5,1083.128784,3088298
29-04-2015,1242,1247.5,1225.530029,1243.650024,1079.786011,2019620
30-04-2015,1240,1245,1213.550049,1231.849976,1069.541016,3738054
04-05-2015,1245.5,1252.400024,1228.599976,1240.780029,1077.293945,1890630
05-05-2015,1250.5,1268.219971,1250,1258.930054,1093.052979,3255070
06-05-2015,1257.5,1257.5,1227.900024,1231.530029,1069.263062,3394406
07-05-2015,1232.449951,1276.880005,1226.849976,1272.619995,1104.938965,3205028
08-05-2015,1280,1294,1258.150024,1263.619995,1097.124634,3003664
11-05-2015,1267.5,1281.530029,1262.5,1278,1109.610229,2573082
12-05-2015,1280,1282.5,1256.5,1261.449951,1095.240845,2467386
13-05-2015,1273.5,1273.5,1240.219971,1257.699951,1091.984863,1863774
14-05-2015,1260,1260,1242.5,1249.619995,1084.96936,1309050
15-05-2015,1257.5,1266.199951,1250.5,1255.569946,1090.135498,1461454
18-05-2015,1257.050049,1262.619995,1248.550049,1260.199951,1094.155273,4507752
19-05-2015,1259.699951,1265,1248.380005,1256.349976,1090.812622,1957722
