Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,377.399994,379.450012,374.524994,375.825012,282.137970,1963682
2010-01-05,377.500000,379.774994,373.274994,375.924988,282.213104,2014488
2010-01-06,375.924988,376.100006,366.500000,367.424988,275.832092,3349176
2010-01-07,367.750000,369.700012,355.500000,357.200012,268.156036,6474892
2010-01-08,358.000000,359.250000,348.250000,349.899994,262.675659,6048178
2010-01-11,352.000000,360.049988,350.200012,357.100006,268.080841,4318408
2010-01-12,366.000000,377.000000,363.500000,375.024994,281.537476,9027690
2010-01-13,372.500000,398.200012,372.325012,394.274994,295.988647,10910272
2010-01-14,399.225006,399.225006,384.674988,389.924988,292.723145,10327614
2010-01-15,398.000000,399.799988,386.125000,395.700012,297.058563,7945008
2010-01-18,400.000000,414.500000,396.500000,401.100006,301.112396,7261084
2010-01-19,401.100006,401.100006,389.325012,390.350006,293.042114,5154850
2010-01-20,396.100006,396.100006,385.450012,389.700012,292.554138,4347054
2010-01-21,386.125000,395.975006,383.950012,385.325012,289.269836,5089504
2010-01-22,380.500000,382.500000,372.350006,378.924988,284.465088,7574990
2010-01-25,378.750000,382.750000,370.575012,378.100006,283.845917,3008286
2010-01-27,375.000000,379.850006,370.075012,371.649994,280.487335,4844398
2010-01-28,374.750000,378.975006,363.850006,370.875000,279.902527,6537196
2010-01-29,367.000000,369.899994,356.075012,368.100006,277.808228,5473326
2010-02-01,367.174988,381.399994,360.000000,373.075012,281.562805,3378012
2010-02-02,377.500000,381.325012,367.500000,369.200012,278.638397,4739188
2010-02-03,372.000000,378.450012,367.750000,376.475006,284.128876,2977676
2010-02-04,376.475006,376.950012,366.250000,369.350006,278.751617,2716612
2010-02-05,367.500000,367.500000,358.299988,361.750000,273.015808,4607118
2010-02-06,null,null,null,null,null,null
2010-02-08,364.500000,367.375000,354.075012,362.075012,273.261047,4170344
2010-02-09,362.500000,370.975006,360.524994,367.575012,277.412109,3005894
2010-02-10,369.950012,371.850006,364.049988,366.149994,276.336578,2337374
2010-02-11,368.975006,373.975006,367.500000,371.350006,280.261078,2413156
2010-02-15,375.000000,375.000000,369.274994,373.075012,281.562805,1956482
2010-02-16,373.625000,382.475006,371.100006,379.075012,286.091309,1660490
2010-02-17,382.450012,383.975006,376.274994,379.325012,286.279907,2528290
2010-02-18,380.000000,383.475006,377.750000,379.399994,286.336426,1814806
2010-02-19,377.450012,379.750000,372.899994,375.274994,283.223267,2215880
2010-02-22,378.500000,381.850006,376.899994,378.625000,285.751617,2143460
2010-02-23,379.500000,382.500000,375.625000,381.049988,287.581726,1853052
2010-02-24,378.000000,385.350006,376.049988,382.674988,288.808105,4076058
2010-02-25,384.899994,384.899994,380.625000,383.125000,289.147766,2672984
2010-02-26,383.549988,389.274994,373.075012,380.899994,287.468445,3015934
2010-03-02,381.000000,384.500000,377.500000,381.600006,287.996765,4053352
2010-03-03,384.500000,387.000000,382.075012,384.375000,290.091125,2754742
2010-03-04,384.000000,385.000000,378.500000,381.950012,288.260895,2053606
2010-03-05,382.500000,383.475006,380.075012,381.299988,287.770386,1287312
2010-03-08,383.799988,385.000000,380.149994,381.350006,287.808136,3015740
2010-03-09,381.500000,389.250000,381.500000,384.350006,290.072266,3457732
2010-03-10,381.850006,392.225006,380.000000,390.024994,294.355194,4587874
2010-03-11,390.024994,397.450012,385.975006,395.799988,298.713654,3214030
2010-03-12,400.000000,400.000000,396.000000,398.475006,300.732483,2510976
2010-03-15,398.475006,410.000000,395.575012,409.000000,308.675812,6054434
2010-03-16,410.750000,415.975006,407.899994,414.500000,312.826752,3088856
2010-03-17,417.000000,422.950012,415.000000,420.350006,317.241791,4174794
2010-03-18,422.500000,422.500000,410.250000,412.924988,311.638031,3724554
2010-03-19,402.625000,417.225006,402.625000,410.450012,309.770081,4716624
2010-03-22,407.450012,416.899994,403.075012,413.799988,312.298462,3310110
2010-03-23,415.000000,416.500000,411.049988,414.325012,312.694672,1694964
2010-03-25,412.049988,418.399994,409.000000,414.899994,313.128571,5517582
2010-03-26,415.000000,418.000000,411.149994,412.524994,311.336121,1997806
2010-03-29,412.000000,414.649994,404.274994,405.975006,306.392792,3443266
2010-03-30,404.299988,408.049988,398.575012,400.000000,301.883423,3097160
2010-03-31,400.000000,403.625000,388.649994,390.325012,294.581696,7083046
2010-04-01,393.174988,404.899994,391.049988,403.899994,304.826782,5781432
2010-04-05,408.500000,408.500000,399.625000,401.674988,303.147522,3001836
2010-04-06,404.450012,404.450012,396.075012,398.024994,300.392822,3702366
2010-04-07,395.000000,404.500000,390.575012,399.024994,301.147614,3024558
2010-04-08,398.000000,403.750000,395.000000,399.725006,301.675842,4494438
2010-04-09,401.000000,403.950012,394.125000,395.799988,298.713654,3018012
2010-04-12,395.500000,400.000000,395.049988,399.049988,301.166504,2869882
2010-04-13,400.000000,411.899994,393.625000,410.424988,309.751221,8404916
2010-04-15,411.000000,417.450012,409.524994,410.850006,310.072021,4290952
2010-04-16,409.500000,414.000000,405.924988,407.549988,307.581482,3810958
2010-04-19,405.000000,412.500000,400.375000,405.975006,306.392792,6947704
2010-04-20,412.500000,416.325012,393.500000,394.750000,297.921204,12016986
2010-04-21,397.500000,399.500000,390.125000,392.500000,296.223053,7107490
2010-04-22,394.549988,396.825012,390.500000,392.975006,296.581696,4751116
2010-04-23,394.024994,396.000000,388.750000,390.100006,294.411896,4306068
2010-04-26,393.000000,395.500000,390.100006,392.549988,296.260834,2512548
